"code","label"
"def get_user(id): return db.query('SELECT * FROM users WHERE id = ' + id)","High Risk"
"query = f'SELECT * FROM data WHERE name = {name}'","High Risk"
"cursor.execute('DELETE FROM users WHERE id = {}'.format(user_id))","High Risk"
"db.execute('SELECT * FROM accounts WHERE username=' + username + ' AND password=' + password)","High Risk"
"cursor.execute(f'UPDATE users SET role=admin WHERE id={user_id}')","High Risk"
"def login(user, pw): return f'SELECT * FROM users WHERE user={user} AND pw={pw}'","High Risk"
"cursor.execute('SELECT * FROM orders WHERE user_id = ' + str(uid))","High Risk"
"query = 'SELECT * FROM products WHERE category = ' + category","High Risk"
"sql = 'INSERT INTO logs VALUES (' + user_data + ')'","High Risk"
"cursor.execute('UPDATE balance SET amount = ' + amount + ' WHERE id = ' + uid)","High Risk"
"raw_query = 'SELECT * FROM admin WHERE pass = ' + pwd","High Risk"
"conn.execute('DROP TABLE ' + table_name)","High Risk"
"cursor.execute('SELECT * FROM files WHERE owner = %s' % username)","High Risk"
"query = 'DELETE FROM sessions WHERE token = ' + token","High Risk"
"cursor.execute('EXEC sp_executesql ' + raw_sql)","High Risk"
"db.execute('SELECT * FROM inventory WHERE id=' + item_id)","High Risk"
"sql = f'SELECT * FROM roles WHERE name = {role}'","High Risk"
"cursor.execute('SELECT salary FROM employees WHERE id = ' + emp_id)","High Risk"
"stmt = 'UPDATE users SET admin=1 WHERE username=' + user","High Risk"
"cursor.execute(""SELECT * FROM users WHERE login='"" + login + ""'"")","High Risk"
"db.query('SELECT * FROM users WHERE name = \'' + name + '\'')","High Risk"
"const query = `SELECT * FROM users WHERE id = ${userId}`; db.query(query)","High Risk"
"db.query('SELECT * FROM users WHERE name = \'' + req.body.name + '\'')","High Risk"
"mongoose.findOne({ $where: 'this.name == ' + userInput })","High Risk"
"const pass = req.body.password; db.query(`SELECT * FROM users WHERE pass='${pass}'`)","High Risk"
"String query = ""SELECT * FROM users WHERE id = "" + id;","High Risk"
"$query = ""SELECT * FROM users WHERE id = "" . $_GET['id'];","High Risk"
"$result = mysql_query(""SELECT * FROM users WHERE name = '"" . $_POST['name'] . ""'"");","High Risk"
"query := fmt.Sprintf(""SELECT * FROM users WHERE id = %s"", r.FormValue(""id""))","High Risk"
"db.Exec(""DELETE FROM users WHERE name = '"" + name + ""'"")","High Risk"
"def execute_cmd(cmd): os.system(cmd)","High Risk"
"subprocess.Popen(request.args.get('cmd'), shell=True)","High Risk"
"cmd = request.json.get('command'); os.system(cmd)","High Risk"
"subprocess.call(request.args['cmd'], shell=True)","High Risk"
"os.popen(request.args.get('cmd')).read()","High Risk"
"subprocess.check_output(user_cmd, shell=True)","High Risk"
"os.system('ping ' + host)","High Risk"
"subprocess.call('nslookup ' + domain, shell=True)","High Risk"
"os.popen('cat ' + filepath)","High Risk"
"os.system('convert ' + user_file + ' output.png')","High Risk"
"subprocess.Popen('curl ' + user_url, shell=True)","High Risk"
"os.system('zip -r ' + archive + ' ' + target_dir)","High Risk"
"subprocess.check_call(request.form['cmd'], shell=True)","High Risk"
"import os; os.system('rm -rf /')","High Risk"
"os.popen('ls ' + request.args.get('dir')).read()","High Risk"
"subprocess.run(user_input, shell=True)","High Risk"
"os.system('mv ' + src + ' ' + dst)","High Risk"
"os.popen('wget ' + url).read()","High Risk"
"os.execvp(user_bin, user_args)","High Risk"
"os.system('find / -name ' + user_input)","High Risk"
"subprocess.Popen(request.json['args'], shell=True)","High Risk"
"app.get('/exec', (req, res) => { exec(req.query.cmd, (err, out) => res.send(out)) })","High Risk"
"child_process.exec(req.body.command)","High Risk"
"Runtime.getRuntime().exec(request.getParameter('cmd'))","High Risk"
"Runtime.getRuntime().exec(new String[]{'sh', '-c', userInput})","High Risk"
"new ProcessBuilder(userCmd).start()","High Risk"
"system($_GET['cmd']);","High Risk"
"exec($_POST['command'], $output);","High Risk"
"passthru($_REQUEST['cmd']);","High Risk"
"cmd := exec.Command(r.FormValue('cmd'))","High Risk"
"out, _ := exec.Command('sh', '-c', userInput).Output()","High Risk"
"eval(user_input)","High Risk"
"exec(req.body.script)","High Risk"
"result = eval(request.form.get('expr'))","High Risk"
"exec(request.form['code'])","High Risk"
"input_code = input('Enter code: '); exec(input_code)","High Risk"
"eval(compile(user_code, '<string>', 'exec'))","High Risk"
"exec(compile(request.data, '<string>', 'exec'))","High Risk"
"eval(req.body.code)","High Risk"
"const result = Function(userCode)()","High Risk"
"vm.runInThisContext(userCode)","High Risk"
"__import__(user_module)","High Risk"
"getattr(obj, request.args.get('method'))()","High Risk"
"globals()[request.args.get('func')]()","High Risk"
"locals()[request.form.get('var')] = request.form.get('val')","High Risk"
"setattr(obj, request.args.get('attr'), request.args.get('val'))","High Risk"
"delattr(obj, request.args.get('attr'))","High Risk"
"importlib.import_module(request.args.get('plugin'))","High Risk"
"eval($_POST['code']);","High Risk"
"include($_GET['page']);","High Risk"
"require($_POST['file']);","High Risk"
"pickle.loads(request.data)","High Risk"
"data = pickle.loads(base64.b64decode(request.cookies.get('session')))","High Risk"
"import marshal; marshal.loads(request.data)","High Risk"
"torch.load(request.files['model'])","High Risk"
"jsonpickle.decode(request.data)","High Risk"
"shelve.open(user_path)","High Risk"
"numpy.load(user_file, allow_pickle=True)","High Risk"
"import dill; dill.loads(request.data)","High Risk"
"import joblib; joblib.load(request.files['model'])","High Risk"
